,created_at,retweet_count,favorite_count,rating_numerator,rating_denominator,dog_breed,display_text_range,entities_size_large_w,entities_size_large_h
242,2017-02-20 17:00:04+00:00,2953,19117,13,10,west_highland_white_terrier,141,1099,1130
243,2017-02-20 00:53:27+00:00,1853,13651,13,10,golden_retriever,63,2048,2048
244,2017-02-19 01:23:00+00:00,4367,18467,12,10,cardigan,119,1152,2048
245,2017-02-18 17:00:10+00:00,1964,12105,13,10,boxer,141,1200,1200
246,2017-02-18 01:03:09+00:00,3264,15407,13,10,cardigan,136,1153,2048
247,2017-02-17 17:01:29+00:00,2510,14488,12,10,eskimo_dog,94,1536,2048
248,2017-02-17 01:13:34+00:00,2003,10917,12,10,pekinese,130,1153,2048
249,2017-02-16 23:23:38+00:00,2863,15624,11,10,kelpie,113,1152,2048
250,2017-02-16 17:00:25+00:00,2104,10342,14,10,pembroke,131,1280,720
251,2017-02-16 01:04:13+00:00,4215,16242,12,10,whippet,140,632,421
252,2017-02-15 18:54:34+00:00,5563,21899,12,10,pomeranian,141,564,965
253,2017-02-15 17:02:36+00:00,5873,25182,14,10,bloodhound,140,620,310
254,2017-02-15 01:04:21+00:00,1665,9517,13,10,pembroke,61,1535,2048
255,2017-02-14 23:43:18+00:00,1763,6495,13,10,eskimo_dog,139,1000,1734
256,2017-02-14 17:17:22+00:00,2121,8244,13,10,chihuahua,118,1151,1886
257,2017-02-14 02:02:51+00:00,1413,8505,12,10,old_english_sheepdog,117,1224,1632
258,2017-02-14 01:35:49+00:00,1019,6023,13,10,briard,135,1536,2048
259,2017-02-14 01:09:44+00:00,2220,10783,12,10,doberman,139,1502,2048
260,2017-02-13 22:03:49+00:00,1859,10857,12,10,cocker_spaniel,117,1536,2048
261,2017-02-13 01:46:03+00:00,1360,7306,12,10,kuvasz,61,384,480
262,2017-02-12 01:04:29+00:00,15177,60943,13,10,labrador_retriever,95,1536,2048
263,2017-02-10 16:53:37+00:00,2645,8915,13,10,toy_poodle,141,600,450
264,2017-02-10 01:15:49+00:00,1766,11189,12,10,border_terrier,114,1536,2048
265,2017-02-09 01:27:41+00:00,9597,29126,12,10,french_bulldog,128,1480,2048
266,2017-02-08 22:00:52+00:00,1830,9627,11,10,labrador_retriever,121,750,1334
267,2017-02-08 01:35:19+00:00,6664,22335,12,10,golden_retriever,115,575,1024
268,2017-02-07 17:00:28+00:00,14740,48615,13,10,boxer,128,2048,1318
269,2017-02-07 01:00:22+00:00,5296,23420,13,10,chesapeake_bay_retriever,138,1024,995
270,2017-02-06 20:55:28+00:00,10140,33370,10,10,mexican_hairless,134,1000,662
271,2017-02-06 17:02:17+00:00,1214,8700,14,10,golden_retriever,81,604,453
272,2017-02-06 01:07:28+00:00,1062,5878,12,10,toy_poodle,71,1536,2048
273,2017-02-06 01:03:14+00:00,1165,7071,12,10,weimaraner,132,750,979
274,2017-02-05 23:15:47+00:00,2026,11532,14,10,bedlington_terrier,123,780,927
275,2017-02-05 22:55:23+00:00,974,6811,13,10,american_staffordshire_terrier,113,755,929
276,2017-02-05 22:40:03+00:00,2675,11553,12,10,malamute,124,755,887
277,2017-02-05 01:04:17+00:00,2614,10776,13,10,unknown,124,504,143
278,2017-02-04 22:45:42+00:00,1960,9489,11,10,american_staffordshire_terrier,125,2048,2010
279,2017-02-04 17:34:40+00:00,4745,18385,12,10,german_shepherd,135,543,720
280,2017-02-03 23:04:02+00:00,2746,14168,12,10,collie,124,1536,2048
281,2017-02-03 19:31:54+00:00,856,6880,13,10,pembroke,140,1536,2048
282,2017-02-03 01:16:53+00:00,2761,14571,12,10,golden_retriever,128,2048,1920
283,2017-02-02 17:00:17+00:00,2023,9740,13,10,great_dane,130,1024,1024
