dog_group,dog_breed
sighthound_&_pariah,Saluki
northern_breed,Samoyed
guardian_dog,Sarplaninac
herding_dog,Schapendoes
scenthound,Schiller_Hound
companion_dog,Schipperke
sighthound_&_pariah,Scottish_Deerhound
terrier,Scottish_Terrier
terrier,Sealyham_Terrier
scenthound,Serbian_Hound
scenthound,Serbian_Tricolor_Hound
herding_dog,Shetland_Sheepdog
northern_breed,Shiba
companion_dog,Shih_Tzu
northern_breed,Shikoku
northern_breed,Siberian_Husky
sighthound_&_pariah,Silken_Windhound
terrier,Silky_Terrier
terrier,Skye_Terrier
sighthound_&_pariah,Sloughi
guardian_dog,Slovac_Cuvac
sighthound_&_pariah,Slovakian_Wire-Haired_Pointing_Dog
scenthound,Smaland_Hound
sighthound_&_pariah,Small_Munsterlander
scenthound,Small_Swiss_Hound
terrier,Smooth_Fox_Terrier
terrier,Soft-Coated_Wheaten_Terrier
guardian_dog,South_African_Boerboel
herding_dog,South_Russian_Shepherd_Dog
sighthound_&_pariah,Spanish_Greyhound
scenthound,Spanish_Hound
guardian_dog,Spanish_Mastiff
herding_dog,Spanish_Water_Dog
sighthound_&_pariah,Spinone_Italiano
terrier,Sporting_Lucas_Terrier
sighthound_&_pariah,Stabyhoun
terrier,Staffordshire_Bull_Terrier
sighthound_&_pariah,Standard_Poodle
guardian_dog,Standard_Schnauzer
scenthound,Stephens'_Cur
herding_dog,Stumpy_Tail_Cattle_Dog
scenthound,Styrian_Coarse_Haired_Hound
sighthound_&_pariah,Sussex_Spaniel
northern_breed,Swedish_Elkhound
northern_breed,Swedish_Lapphund
herding_dog,Swedish_Vallhund
scenthound,Swiss_Hound
terrier,Teddy_Roosevelt_Terrier
sighthound_&_pariah,Thai_Ridgeback
guardian_dog,Tibetan_Mastiff
companion_dog,Tibetan_Spaniel
companion_dog,Tibetan_Terrier
guardian_dog,Tornjak
guardian_dog,Tosa_Ken
terrier,Toy_Fox_Terrier
scenthound,Transylvanian_Hound
scenthound,Treeing_Cur
terrier,Treeing_Feist
scenthound,Treeing_Tennessee_Brindle
scenthound,Treeing_Walker_Coonhound
scenthound,Tyrolean_Hound
sighthound_&_pariah,Vizsla
northern_breed,Volpino_Italiano
sighthound_&_pariah,Weimaraner
scenthound,Welsh_Hound
sighthound_&_pariah,Welsh_Springer_Spaniel
terrier,Welsh_Terrier
terrier,West_Highland_White_Terrier
northern_breed,West_Siberian_Laika
scenthound,Westphalian_Dachsbracke
sighthound_&_pariah,Whippet
herding_dog,White_Shepherd
terrier,Wire_Fox_Terrier
sighthound_&_pariah,Wirehaired_Pointing_Griffon
sighthound_&_pariah,Xoloitzcuintli
companion_dog,Yorkshire_Terrier
